table_name,column_name,data_type,is_nullable
berita,id_berita,uuid,NO
berita,id_user,uuid,NO
berita,judul,text,NO
berita,isi,text,YES
berita,gambar,text,YES
berita,tgl_publish,timestamp with time zone,NO
berita,kategori,text,YES
chat_pesan,id_pesan,uuid,NO
chat_pesan,id_pengaduan,uuid,NO
chat_pesan,pengirim_id,uuid,NO
chat_pesan,pengirim_nama,text,NO
chat_pesan,pengirim_role,text,NO
chat_pesan,isi_pesan,text,YES
chat_pesan,lampiran_url,text,YES
chat_pesan,is_read,boolean,NO
chat_pesan,read_at,timestamp with time zone,YES
chat_pesan,created_at,timestamp with time zone,NO
data_posbankum,id_data,uuid,NO
data_posbankum,id_posbankum,uuid,NO
data_posbankum,kategori,text,YES
data_posbankum,path_berkas,text,NO
data_posbankum,tgl_upload,timestamp with time zone,NO
data_posbankum,status_verifikasi,text,NO
data_posbankum,id_user_verifikator,uuid,YES
data_posbankum,tgl_verifikasi,timestamp with time zone,YES
data_posbankum,nama_berkas,text,YES
data_posbankum,mime_type,text,YES
data_posbankum,size_bytes,bigint,YES
data_posbankum,catatan_admin,text,YES
kabupaten,id_kabupaten,uuid,NO
kabupaten,nama,text,NO
kabupaten,created_at,timestamp with time zone,NO
kasus,id_kasus,uuid,NO
kasus,jenis_kasus,text,NO
kasus,deskripsi_kasus,text,YES
kasus,tgl_upload,timestamp with time zone,NO
kasus,tgl_mulai,date,YES
kasus,tgl_selesai,date,YES
kasus,website_pengaduan_id,uuid,YES
kasus,id_posbankum,uuid,YES
kasus,judul_kasus,text,YES
kasus,status,text,YES
kasus,prioritas,text,YES
kasus,updated_at,timestamp with time zone,NO
kasus_progress,id_progress,uuid,NO
kasus_progress,title,text,YES
kasus_progress,deskripsi_progres,text,NO
kasus_progress,tanggal_progres,date,NO
kasus_progress,foto_dokumentasi,text,YES
kasus_progress,created_by,uuid,YES
kasus_progress,created_at,timestamp with time zone,NO
kasus_progress,id_kasus,uuid,YES
kecamatan,id_kecamatan,uuid,NO
kecamatan,id_kabupaten,uuid,NO
kecamatan,nama,text,NO
kecamatan,created_at,timestamp with time zone,NO
kegiatan,id_kegiatan,uuid,NO
kegiatan,id_posbankum,uuid,NO
kegiatan,judul,text,NO
kegiatan,deskripsi,text,YES
kegiatan,catatan,text,YES
kegiatan,status,text,NO
kegiatan,tgl_upload,timestamp with time zone,NO
kegiatan,tgl_mulai,date,YES
kegiatan,tgl_selesai,date,YES
kegiatan,thumbnail_path,text,YES
kegiatan,lokasi,text,YES
kegiatan,jumlah_peserta,integer,YES
kegiatan,anggota_terlibat,jsonb,NO
kegiatan,kategori,text,YES
kegiatan,hasil_kegiatan,text,YES
kegiatan,created_by,uuid,YES
kelurahan,id_kelurahan,uuid,NO
kelurahan,id_kecamatan,uuid,NO
kelurahan,nama,text,NO
kelurahan,created_at,timestamp with time zone,NO
lihat_kasus,id_posbankum,uuid,NO
lihat_kasus,id_kasus,uuid,NO
lihat_kasus,created_at,timestamp with time zone,NO
masyarakat,id,uuid,NO
masyarakat,nik,text,YES
masyarakat,alamat,text,YES
masyarakat,id_kabupaten,uuid,YES
masyarakat,id_kecamatan,uuid,YES
masyarakat,created_at,timestamp with time zone,NO
masyarakat,updated_at,timestamp with time zone,NO
masyarakat,id_kelurahan,uuid,YES
notifikasi,id_notifikasi,uuid,NO
notifikasi,id_posbankum,uuid,NO
notifikasi,judul,text,NO
notifikasi,pesan,text,NO
notifikasi,kategori,text,NO
notifikasi,prioritas,text,NO
notifikasi,is_read,boolean,NO
notifikasi,read_at,timestamp with time zone,YES
notifikasi,ref_table,text,YES
notifikasi,ref_id,uuid,YES
notifikasi,created_at,timestamp with time zone,NO
paralegal_members,id_paralegal,uuid,NO
paralegal_members,id_posbankum,uuid,NO
paralegal_members,nama_paralegal,text,NO
paralegal_members,nomor_telepon,text,NO
paralegal_members,is_primary,boolean,NO
paralegal_members,created_at,timestamp with time zone,NO
paralegal_members,updated_at,timestamp with time zone,NO
pengaduan,id_pengaduan,uuid,NO
pengaduan,id_posbankum,uuid,NO
pengaduan,nomor_pengaduan,text,NO
pengaduan,nama_pelapor,text,NO
pengaduan,nomor_telepon,text,NO
pengaduan,email,text,YES
pengaduan,jenis_masalah,text,NO
pengaduan,judul_pengaduan,text,NO
pengaduan,kronologi,text,NO
pengaduan,tanggal_kejadian,date,NO
pengaduan,waktu_kejadian,time without time zone,YES
pengaduan,lokasi_kejadian,text,NO
pengaduan,provinsi,text,YES
pengaduan,kabupaten_kota,text,YES
pengaduan,kecamatan,text,YES
pengaduan,id_kabupaten,uuid,YES
pengaduan,id_kecamatan,uuid,YES
pengaduan,status,text,NO
pengaduan,catatan_admin,text,YES
pengaduan,created_by,uuid,NO
pengaduan,created_at,timestamp with time zone,NO
pengaduan,updated_at,timestamp with time zone,NO
pengaduan,prioritas,text,YES
pengaduan,id_paralegal,uuid,YES
pengaduan,catatan_internal,text,YES
pengaduan,tgl_selesai,timestamp with time zone,YES
pengaduan,masyarakat_id,uuid,YES
pengaduan,nik,text,YES
pengaduan_lampiran,id_lampiran,uuid,NO
pengaduan_lampiran,id_pengaduan,uuid,NO
pengaduan_lampiran,nama_file,text,NO
pengaduan_lampiran,path_file,text,NO
pengaduan_lampiran,mime_type,text,YES
pengaduan_lampiran,size_bytes,bigint,YES
pengaduan_lampiran,created_at,timestamp with time zone,NO
pengaduan_timeline,id_timeline,uuid,NO
pengaduan_timeline,id_pengaduan,uuid,NO
pengaduan_timeline,title,text,NO
pengaduan_timeline,deskripsi,text,YES
pengaduan_timeline,tanggal,timestamp with time zone,NO
pengaduan_timeline,created_by,uuid,YES
pengaduan_timeline,created_at,timestamp with time zone,NO
posbankum,id_posbankum,uuid,NO
posbankum,id_kecamatan,uuid,NO
posbankum,id_kabupaten,uuid,NO
posbankum,nama,text,NO
posbankum,gambar,text,YES
posbankum,nomor_tlp,text,YES
posbankum,alamat,text,YES
posbankum,jml_paralegal,integer,NO
posbankum,nama_paralegal,text,YES
posbankum,kode_pos,text,YES
posbankum,created_at,timestamp with time zone,NO
posbankum,updated_at,timestamp with time zone,NO
posbankum,email_akun,text,YES
posbankum,latitude,double precision,YES
posbankum,longitude,double precision,YES
posbankum,password_akun,text,YES
posbankum,status_verifikasi_tagging_area,text,NO
posbankum,catatan_verifikasi_tagging_area,text,YES
posbankum,tgl_verifikasi_tagging_area,timestamp with time zone,YES
posbankum,id_user_verifikator_tagging_area,uuid,YES
posbankum,id_kelurahan,uuid,YES
profiles,id,uuid,NO
profiles,full_name,text,YES
profiles,role,USER-DEFINED,NO
profiles,created_at,timestamp with time zone,NO
profiles,id_posbankum,uuid,YES
profiles,nip,text,YES
profiles,email_kantor,text,YES
profiles,nomor_telepon,text,YES
profiles,nomor_kantor,text,YES
profiles,jabatan,text,YES
profiles,unit_kerja,text,YES
profiles,alamat_kantor,text,YES
profiles,foto_profile,text,YES
profiles,updated_at,timestamp with time zone,NO